indice_tiempo,alcance_nombre,alcance_tipo,sup_sembrada_algodon,sup_cosechada_algodon,prod_algodon
2000-12-31,FORMOSA,PROVINCIA,7000,5500,8250
2001-12-31,FORMOSA,PROVINCIA,19800,18500,27750
2002-12-31,FORMOSA,PROVINCIA,8278,8099,14995
2003-12-31,FORMOSA,PROVINCIA,17000,15384,23867
2004-12-31,FORMOSA,PROVINCIA,33279,33279,44544
2005-12-31,FORMOSA,PROVINCIA,51700,44495,40060
2006-12-31,FORMOSA,PROVINCIA,27000,27000,35100
2007-12-31,FORMOSA,PROVINCIA,32650,32000,38000
2008-12-31,FORMOSA,PROVINCIA,17440,17440,19690
2009-12-31,FORMOSA,PROVINCIA,15400,15400,18480
2010-12-31,FORMOSA,PROVINCIA,18030,14030,12150
2011-12-31,FORMOSA,PROVINCIA,20000,20000,24000
2012-12-31,FORMOSA,PROVINCIA,26500,25500,30600
2013-12-31,FORMOSA,PROVINCIA,19000,18700,22980
2014-12-31,FORMOSA,PROVINCIA,12500,11310,11760
2015-12-31,FORMOSA,PROVINCIA,18000,12000,18000
2016-12-31,FORMOSA,PROVINCIA,9960,9300,13950
2017-12-31,FORMOSA,PROVINCIA,4500,4300,6450
1990-12-31,SANTA FE,PROVINCIA,50000,46000,60700
1991-12-31,SANTA FE,PROVINCIA,50000,45200,48900
1992-12-31,SANTA FE,PROVINCIA,55000,50000,54500
1993-12-31,SANTA FE,PROVINCIA,25300,19500,20485
1994-12-31,SANTA FE,PROVINCIA,34000,29000,39100
1995-12-31,SANTA FE,PROVINCIA,35000,33000,51800
1996-12-31,SANTA FE,PROVINCIA,54700,54600,85460
1997-12-31,SANTA FE,PROVINCIA,37500,37500,52800
1998-12-31,SANTA FE,PROVINCIA,51500,42680,49366
1999-12-31,SANTA FE,PROVINCIA,43500,31500,32140
2000-12-31,SANTA FE,PROVINCIA,14000,12800,19250
2001-12-31,SANTA FE,PROVINCIA,16000,13600,15440
2002-12-31,SANTA FE,PROVINCIA,9500,8500,10200
2003-12-31,SANTA FE,PROVINCIA,8500,7500,8250
2004-12-31,SANTA FE,PROVINCIA,11850,11230,13598
2005-12-31,SANTA FE,PROVINCIA,13800,13000,16150
2006-12-31,SANTA FE,PROVINCIA,12045,11545,13860
2007-12-31,SANTA FE,PROVINCIA,16500,16500,26250
2008-12-31,SANTA FE,PROVINCIA,10500,10440,13252
2009-12-31,SANTA FE,PROVINCIA,31100,30200,27600
2010-12-31,SANTA FE,PROVINCIA,45000,45000,120000
2011-12-31,SANTA FE,PROVINCIA,88300,84000,180980
2012-12-31,SANTA FE,PROVINCIA,143500,133300,140380
2013-12-31,SANTA FE,PROVINCIA,112000,94500,163100
2014-12-31,SANTA FE,PROVINCIA,113100,87400,178080
2015-12-31,SANTA FE,PROVINCIA,108300,72050,112880
2016-12-31,SANTA FE,PROVINCIA,53300,38200,51710
2017-12-31,SANTA FE,PROVINCIA,37500,32700,95720
1990-12-31,SANTIAGO DEL ESTERO,PROVINCIA,24500,23500,34800
1991-12-31,SANTIAGO DEL ESTERO,PROVINCIA,32500,32500,50950
1992-12-31,SANTIAGO DEL ESTERO,PROVINCIA,38000,37000,49500
1993-12-31,SANTIAGO DEL ESTERO,PROVINCIA,47200,33400,45910
1994-12-31,SANTIAGO DEL ESTERO,PROVINCIA,65300,61400,85400
1995-12-31,SANTIAGO DEL ESTERO,PROVINCIA,140700,138250,227200
1996-12-31,SANTIAGO DEL ESTERO,PROVINCIA,216100,212800,309440
1997-12-31,SANTIAGO DEL ESTERO,PROVINCIA,218300,215800,231990
1998-12-31,SANTIAGO DEL ESTERO,PROVINCIA,253700,243900,307400
1999-12-31,SANTIAGO DEL ESTERO,PROVINCIA,195000,143790,136973
2000-12-31,SANTIAGO DEL ESTERO,PROVINCIA,115300,110100,137000
2001-12-31,SANTIAGO DEL ESTERO,PROVINCIA,90100,82080,107906
2002-12-31,SANTIAGO DEL ESTERO,PROVINCIA,55100,53600,67060
2003-12-31,SANTIAGO DEL ESTERO,PROVINCIA,39500,38800,53690
2004-12-31,SANTIAGO DEL ESTERO,PROVINCIA,50000,48500,68510
2005-12-31,SANTIAGO DEL ESTERO,PROVINCIA,74070,67480,80740
2006-12-31,SANTIAGO DEL ESTERO,PROVINCIA,60000,56000,77850
2007-12-31,SANTIAGO DEL ESTERO,PROVINCIA,75000,73800,119000
2008-12-31,SANTIAGO DEL ESTERO,PROVINCIA,77030,75165,147820
2009-12-31,SANTIAGO DEL ESTERO,PROVINCIA,43445,40795,80513
2010-12-31,SANTIAGO DEL ESTERO,PROVINCIA,80600,75465,165998
2011-12-31,SANTIAGO DEL ESTERO,PROVINCIA,116745,114490,280465
2012-12-31,SANTIAGO DEL ESTERO,PROVINCIA,176500,133350,224910
2013-12-31,SANTIAGO DEL ESTERO,PROVINCIA,125275,102010,142240
2014-12-31,SANTIAGO DEL ESTERO,PROVINCIA,115625,115625,306891
2015-12-31,SANTIAGO DEL ESTERO,PROVINCIA,130500,124200,326120
2016-12-31,SANTIAGO DEL ESTERO,PROVINCIA,136700,129700,292090
2017-12-31,SANTIAGO DEL ESTERO,PROVINCIA,115300,114120,330447
1990-12-31,CORDOBA,PROVINCIA,0,0,0
1991-12-31,CORDOBA,PROVINCIA,5000,5000,9000
1992-12-31,CORDOBA,PROVINCIA,0,0,0
1993-12-31,CORDOBA,PROVINCIA,1400,600,960
1994-12-31,CORDOBA,PROVINCIA,1900,1600,3800
1995-12-31,CORDOBA,PROVINCIA,3600,3480,8000
1996-12-31,CORDOBA,PROVINCIA,2000,1960,3332
1997-12-31,CORDOBA,PROVINCIA,3700,3700,7400
1998-12-31,CORDOBA,PROVINCIA,5000,5000,9000
1999-12-31,CORDOBA,PROVINCIA,2100,1800,1980
2000-12-31,CORDOBA,PROVINCIA,1200,1200,3120
2001-12-31,CORDOBA,PROVINCIA,1800,1800,3960
2002-12-31,CORDOBA,PROVINCIA,500,500,1500
2003-12-31,CORDOBA,PROVINCIA,950,900,2250
2004-12-31,CORDOBA,PROVINCIA,2000,1700,4250
2005-12-31,CORDOBA,PROVINCIA,1600,1600,3200
2006-12-31,CORDOBA,PROVINCIA,800,900,1800
2007-12-31,CORDOBA,PROVINCIA,700,500,650
2008-12-31,CORDOBA,PROVINCIA,540,540,1890
2009-12-31,CORDOBA,PROVINCIA,450,450,1800
2010-12-31,CORDOBA,PROVINCIA,150,150,300
2011-12-31,CORDOBA,PROVINCIA,100,100,350
2012-12-31,CORDOBA,PROVINCIA,100,100,250
2013-12-31,CORDOBA,PROVINCIA,70,20,50
2014-12-31,CORDOBA,PROVINCIA,91,91,264
2015-12-31,CORDOBA,PROVINCIA,350,350,1100
2016-12-31,CORDOBA,PROVINCIA,330,300,925
2017-12-31,CORDOBA,PROVINCIA,750,750,2295
1990-12-31,LA RIOJA,PROVINCIA,0,0,0
1991-12-31,LA RIOJA,PROVINCIA,0,0,0
1992-12-31,LA RIOJA,PROVINCIA,0,0,0
1993-12-31,LA RIOJA,PROVINCIA,400,400,520
1994-12-31,LA RIOJA,PROVINCIA,400,400,1000
1995-12-31,LA RIOJA,PROVINCIA,250,0,0
1996-12-31,LA RIOJA,PROVINCIA,0,0,0
1997-12-31,LA RIOJA,PROVINCIA,0,0,0
1998-12-31,LA RIOJA,PROVINCIA,0,0,0
1999-12-31,LA RIOJA,PROVINCIA,350,350,700
2000-12-31,LA RIOJA,PROVINCIA,350,350,1015
2001-12-31,LA RIOJA,PROVINCIA,1240,1110,3330
2002-12-31,LA RIOJA,PROVINCIA,1350,1350,4700
2003-12-31,LA RIOJA,PROVINCIA,1350,300,660
2004-12-31,LA RIOJA,PROVINCIA,1000,800,1600
2005-12-31,LA RIOJA,PROVINCIA,900,350,770
2006-12-31,LA RIOJA,PROVINCIA,0,0,0
2007-12-31,LA RIOJA,PROVINCIA,900,900,2000
2008-12-31,LA RIOJA,PROVINCIA,0,0,0
2009-12-31,LA RIOJA,PROVINCIA,0,0,0
2010-12-31,LA RIOJA,PROVINCIA,0,0,0
2011-12-31,LA RIOJA,PROVINCIA,0,0,0
2012-12-31,LA RIOJA,PROVINCIA,0,0,0
2013-12-31,LA RIOJA,PROVINCIA,0,0,0
2014-12-31,LA RIOJA,PROVINCIA,0,0,0
2015-12-31,LA RIOJA,PROVINCIA,0,0,0
2016-12-31,LA RIOJA,PROVINCIA,0,0,0
1990-12-31,SAN JUAN,PROVINCIA,0,0,0
1991-12-31,SAN JUAN,PROVINCIA,0,0,0
1992-12-31,SAN JUAN,PROVINCIA,0,0,0
1993-12-31,SAN JUAN,PROVINCIA,700,700,910
1994-12-31,SAN JUAN,PROVINCIA,0,0,0
1995-12-31,SAN JUAN,PROVINCIA,440,440,660
1996-12-31,SAN JUAN,PROVINCIA,0,0,0
1997-12-31,SAN JUAN,PROVINCIA,0,0,0
1998-12-31,SAN JUAN,PROVINCIA,0,0,0
1999-12-31,SAN JUAN,PROVINCIA,0,0,0
2000-12-31,SAN JUAN,PROVINCIA,0,0,0
2001-12-31,SAN JUAN,PROVINCIA,0,0,0
2002-12-31,SAN JUAN,PROVINCIA,0,0,0
2003-12-31,SAN JUAN,PROVINCIA,0,0,0
2004-12-31,SAN JUAN,PROVINCIA,0,0,0
2005-12-31,SAN JUAN,PROVINCIA,0,0,0
2006-12-31,SAN JUAN,PROVINCIA,0,0,0
2007-12-31,SAN JUAN,PROVINCIA,0,0,0
2008-12-31,SAN JUAN,PROVINCIA,0,0,0
2009-12-31,SAN JUAN,PROVINCIA,0,0,0
2010-12-31,SAN JUAN,PROVINCIA,0,0,0
2011-12-31,SAN JUAN,PROVINCIA,0,0,0
2012-12-31,SAN JUAN,PROVINCIA,0,0,0
2013-12-31,SAN JUAN,PROVINCIA,0,0,0
2014-12-31,SAN JUAN,PROVINCIA,0,0,0
2015-12-31,SAN JUAN,PROVINCIA,0,0,0
2016-12-31,SAN JUAN,PROVINCIA,0,0,0
1995-12-31,SAN LUIS,PROVINCIA,0,0,0
1996-12-31,SAN LUIS,PROVINCIA,0,0,0
1997-12-31,SAN LUIS,PROVINCIA,0,0,0
1998-12-31,SAN LUIS,PROVINCIA,0,0,0
1999-12-31,SAN LUIS,PROVINCIA,0,0,0
2000-12-31,SAN LUIS,PROVINCIA,0,0,0
2001-12-31,SAN LUIS,PROVINCIA,0,0,0
2002-12-31,SAN LUIS,PROVINCIA,0,0,0
2003-12-31,SAN LUIS,PROVINCIA,0,0,0
2004-12-31,SAN LUIS,PROVINCIA,0,0,0
2005-12-31,SAN LUIS,PROVINCIA,700,700,2800
2006-12-31,SAN LUIS,PROVINCIA,900,800,3200
2007-12-31,SAN LUIS,PROVINCIA,1200,1200,3675
2008-12-31,SAN LUIS,PROVINCIA,1500,1500,5575
2009-12-31,SAN LUIS,PROVINCIA,1650,1400,5185
2010-12-31,SAN LUIS,PROVINCIA,1000,1000,4200
2011-12-31,SAN LUIS,PROVINCIA,700,700,3010
2012-12-31,SAN LUIS,PROVINCIA,3000,3000,11700
2013-12-31,SAN LUIS,PROVINCIA,2800,2800,11200
2014-12-31,SAN LUIS,PROVINCIA,2800,2800,7840
2015-12-31,SAN LUIS,PROVINCIA,2800,2800,7560
2016-12-31,SAN LUIS,PROVINCIA,2500,2500,9500
2017-12-31,SAN LUIS,PROVINCIA,4100,4100,17630
1995-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
1996-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
1997-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
1998-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
1999-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2000-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2001-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2002-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2003-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2004-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2005-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2006-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2007-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2008-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2009-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2010-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2011-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2012-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2013-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2014-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2015-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
2016-12-31,CAPITAL FEDERAL,PROVINCIA,0,0,0
1995-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
1996-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
1997-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
1998-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
1999-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2000-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2001-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2002-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2003-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2004-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2005-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2006-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2007-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2008-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2009-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2010-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
2011-12-31,PARTIDOS DE GBA,PROVINCIA,0,0,0
